Sales Enquiry as of 03/19/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000196,3/19/2026,3/19/2026,,Warehouse,Gardena,General,Cup Carriers,Cafe Supply,Parked,4,35.52
SO-00000196,3/19/2026,3/19/2026,,Warehouse,Gardena,General,2 Cup Carrier,Consumables,Parked,1,0
SO-00000196,3/19/2026,3/19/2026,,Warehouse,Gardena,General,Cup Sleeves - Red,Consumables,Parked,1,0
SO-00000196,3/19/2026,3/19/2026,,Warehouse,Gardena,General,Tonic Water,Raw Material,Parked,1,36.52
SO-00000196,3/19/2026,3/19/2026,,Warehouse,Gardena,General,Scarlet Tea,Raw Material,Parked,1,0
SO-00000196,3/19/2026,3/19/2026,,Warehouse,Gardena,General,Oat Milk,Raw Material,Parked,6,192
SO-00000196,3/19/2026,3/19/2026,,Warehouse,Gardena,General,M1200 Matcha,Raw Material,Parked,1,240
SO-00000196,3/19/2026,3/19/2026,,Warehouse,Gardena,General,Ice lid,Consumables,Parked,1,35.25
SO-00000196,3/19/2026,3/19/2026,,Warehouse,Gardena,General,Ice Cups,Consumables,Parked,1,0
SO-00000196,3/19/2026,3/19/2026,,Warehouse,Gardena,General,Espresso Beans,Raw Material,Parked,10,253
SO-00000196,3/19/2026,3/19/2026,,Warehouse,Gardena,General,Almond Milk,Raw Material,Parked,1,32
SO-00000196,3/19/2026,3/19/2026,,Warehouse,Gardena,General,Agave Cases,Raw Material,Parked,1,61.11
SO-00000195,3/19/2026,3/19/2026,,Warehouse,KTOWN,General,Wooden Stir Stick,Consumables,Parked,1,2.98
SO-00000195,3/19/2026,3/19/2026,,Warehouse,KTOWN,General,Whole Milk,Raw Material,Parked,19,85.5
SO-00000195,3/19/2026,3/19/2026,,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Parked,11,189.2
SO-00000195,3/19/2026,3/19/2026,,Warehouse,KTOWN,General,Vanilla Syrup,Premades,Parked,2,18.84
