OrderNumber,OrderDate,CustomerCode,CustomerName,Customer Type,CurrencyCode,WarehouseCode,DeliveryName,DeliveryStreetAddress,DeliveryStreetAddress2,DeliverySuburb,DeliveryCity,DeliveryRegion,DeliveryCountry,DeliveryPostCode,DeliveryInstruction,DeliveryMethod,ExchangeRate,TaxRate,OrderStatus,RequiredDate,QuoteExpiryDate,CompletedDate,LastModifiedOn,SubTotal,TaxTotal,Total,CustomerRef,Order Comments,ProductCode,ProductDescription,OrderQuantity,UnitPrice,DiscountedUnitPrice,DiscountRate,AverageLandedPriceAtTimeOfSale,Volume,LineTax,LineTotal,Line Comments,Charge,Sales Order Group,Sales Person Email
SO-00000046,1/7/2026,C0001,KTOWN,General,USD,W-0001,,,,,,,,,,,1,0,Completed,1/7/2026,2/7/2026 0:00,1/29/2026 18:49,1/29/2026 18:49,0,0,0,,,50000002,Buttercream,1,0,0,0,8.5992,,0,0,,FALSE,,
SO-00000046,1/7/2026,C0001,KTOWN,General,USD,W-0001,,,,,,,,,,,1,0,Completed,1/7/2026,2/7/2026 0:00,1/29/2026 18:49,1/29/2026 18:49,0,0,0,,,10000012,Black Trash Bag,1,0,0,0,27.40000000000000,,0,0,,FALSE,,
SO-00000046,1/7/2026,C0001,KTOWN,General,USD,W-0001,,,,,,,,,,,1,0,Completed,1/7/2026,2/7/2026 0:00,1/29/2026 18:49,1/29/2026 18:49,0,0,0,,,30000013,Chai,1,0,0,0,14.50000000000000,,0,0,,FALSE,,
SO-00000046,1/7/2026,C0001,KTOWN,General,USD,W-0001,,,,,,,,,,,1,0,Completed,1/7/2026,2/7/2026 0:00,1/29/2026 18:49,1/29/2026 18:49,0,0,0,,,30000016,Cinnamon Powder,1,0,0,0,0,,0,0,,FALSE,,
SO-00000046,1/7/2026,C0001,KTOWN,General,USD,W-0001,,,,,,,,,,,1,0,Completed,1/7/2026,2/7/2026 0:00,1/29/2026 18:49,1/29/2026 18:49,0,0,0,,,10000016,Cup Carriers,1,0,0,0,8.875,,0,0,,FALSE,,
SO-00000046,1/7/2026,C0001,KTOWN,General,USD,W-0001,,,,,,,,,,,1,0,Completed,1/7/2026,2/7/2026 0:00,1/29/2026 18:49,1/29/2026 18:49,0,0,0,,,20000010,Cup Sleeves,1,0,0,0,44.98000000000000,,0,0,,FALSE,,
SO-00000046,1/7/2026,C0001,KTOWN,General,USD,W-0001,,,,,,,,,,,1,0,Completed,1/7/2026,2/7/2026 0:00,1/29/2026 18:49,1/29/2026 18:49,0,0,0,,,10000026,Dish Detergent,1,0,0,0,0,,0,0,,FALSE,,
SO-00000046,1/7/2026,C0001,KTOWN,General,USD,W-0001,,,,,,,,,,,1,0,Completed,1/7/2026,2/7/2026 0:00,1/29/2026 18:49,1/29/2026 18:49,0,0,0,,,30000028,Espresso Beans,16,0,0,0,25.30000000000000,,0,0,,FALSE,,
SO-00000046,1/7/2026,C0001,KTOWN,General,USD,W-0001,,,,,,,,,,,1,0,Completed,1/7/2026,2/7/2026 0:00,1/29/2026 18:49,1/29/2026 18:49,0,0,0,,,10000013,Espresso Trash Bag,1,0,0,0,0,,0,0,,FALSE,,
SO-00000046,1/7/2026,C0001,KTOWN,General,USD,W-0001,,,,,,,,,,,1,0,Completed,1/7/2026,2/7/2026 0:00,1/29/2026 18:49,1/29/2026 18:49,0,0,0,,,30000009,Half & Half,1,0,0,0,4.102333333,,0,0,,FALSE,,
