Sales Enquiry as of 03/30/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,12,206.40
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Vanilla Syrup,Premades,Completed,3,28.26
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Sanchez (retail),Retail,Completed,4,0.00
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Paper Bag,Cafe Supply,Completed,1,4.83
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,3,96.00
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Mocha,Raw Material,Completed,1,22.87
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,2,480.00
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Ice Cups,Consumables,Completed,1,0.00
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.60
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Cup Carriers,Cafe Supply,Completed,2,17.76
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,5,82.45
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,1,32.00
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000223,03/29/2026,03/29/2026,03/30/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,16,72.00
