Sales Enquiry as of 04/09/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000250,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000250,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,19,85.50
SO-00000250,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,2% Milk,Raw Material,Completed,2,9.00
SO-00000250,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,4,65.96
SO-00000250,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,14,240.80
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Toilet Solution,Cafe Supply,Completed,1,6.62
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Sanchez (retail),Retail,Completed,7,0.00
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Rose,Raw Material,Completed,2,14.60
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,5,160.00
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,M1200 Matcha,Raw Material,Completed,2,480.00
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Lavender,Raw Material,Completed,1,7.30
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Custom Ice Cups,Consumables,Completed,1,57.90
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Honey,Raw Material,Completed,1,0.00
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,10,253.00
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Chai,Raw Material,Completed,1,17.60
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Black Trash Bag,Cafe Supply,Completed,1,27.40
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32.00
SO-00000249,04/08/2026,04/08/2026,04/08/2026,Warehouse,Gardena,General,10oz Hot Cup,Consumables,Completed,1,49.25
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,8oz Hot Cup,Consumables,Completed,1,42.90
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,21,94.50
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,9,154.80
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Sanchez (retail),Retail,Completed,5,0.00
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Receipt rolls,Cafe Supply,Completed,2,11.50
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,3,96.00
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Nitrile Gloves,Cafe Supply,Completed,1,39.90
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Matcha Drizzle,Premades,Completed,1,9.21
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,1,57.90
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.60
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Coldbrew Concentrate,Raw Material,Completed,1,42.14
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Chai,Raw Material,Completed,1,17.60
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,4,65.96
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,2,64.00
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000248,04/08/2026,04/08/2026,04/08/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,2,9.00
,,,,,,,,,Totals,145,"2,754.07"
