Sales Enquiry as of 05/24/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000372,05/23/2026,05/23/2026,05/23/2026,Gardena,Gardena,General,2% Milk,Raw Material,Completed,2,9.00
SO-00000372,05/23/2026,05/23/2026,05/23/2026,Gardena,Gardena,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000372,05/23/2026,05/23/2026,05/23/2026,Gardena,Gardena,General,Whole Milk,Raw Material,Completed,27,121.50
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,24,108.00
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,14,240.80
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,Vanilla Syrup,Premades,Completed,2,18.84
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,Rose,Raw Material,Completed,1,7.30
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,Sanchez (retail),Retail,Completed,6,0.00
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,"Pastry Bag, Brown",Cafe Supply,Completed,2,127.86
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,Paper Towel,Cafe Supply,Completed,1,23.90
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,3,96.00
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,Paper Bag,Cafe Supply,Completed,1,4.83
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,Matcha Drizzle,Premades,Completed,2,18.42
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,Nitrile Gloves,Cafe Supply,Completed,1,39.90
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,1,240.00
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,Lavender,Raw Material,Completed,1,7.30
SO-00000371,05/23/2026,05/23/2026,05/23/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
