Product,03/14/2026,03/15/2026,03/16/2026,03/17/2026,03/18/2026,03/19/2026,03/20/2026,03/21/2026,03/22/2026,03/23/2026,03/24/2026,03/25/2026,03/26/2026,03/27/2026,2-Week Total
Espresso Beans,22,21,21,17,19,22,19,23,20,21,18,20,23,18,284
Whole Milk,15,17,29,14,18,18,17,16,19,32,17,22,19,16,269
Vienna Cream,16,15,24,16,17,20,18,17,16,26,18,19,20,18,260
Oat Milk,6,5,6,5,4,7,5,6,4,5,5,5,7,5,75
Buttercream,5,4,7,4,5,5,5,5,4,8,4,5,5,5,71
Sanchez (retail),3,1,1,1,7,2,2,4,2,2,2,7,2,2,38
M1200 Matcha,2,2,2,1,2,2,2,2,2,2,2,2,2,2,27
Almond Milk,2,1,1,1,2,1,1,2,1,1,1,2,2,1,19
Agave Cases,1,1,1,1,2,1,1,1,1,1,1,2,1,1,16
2% Milk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Black Straws,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Cup Carriers,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Cup Sleeves,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Cup Sleeves - Green,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Custom Ice Cups,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Ice Cups,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Ice lid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Paper Bag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Paper Towel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Strawberry Puree Cases,1,,1,1,1,1,1,1,,1,1,1,1,1,12
Chai,,,,,,1,1,,,,,,1,1,4
Cold Brew Beans,,,,,1,1,,,,,,1,1,,4
Bleach,1,,,,,,,1,,,,,,,2
Mocha,,,,,,1,,,,,,,1,,2
Rose,,,,,,,1,,,,,,,1,2
Dulce,,,,,,,,,,1,,,,,1

DAILY TOTAL,84,77,103,71,88,92,83,88,79,110,79,96,95,81,1226
