Product,03/24/2026,03/25/2026,03/26/2026,03/27/2026,03/28/2026,03/29/2026,03/30/2026,03/31/2026,04/01/2026,04/02/2026,04/03/2026,04/04/2026,04/05/2026,04/06/2026,2-Week Total,Max (Par)
Whole Milk,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,31
Espresso Beans,1,1,1,1,2,1,1,1,2,2,2,2,2,2,21,21
Vienna Cream,7,8,8,8,10,8,8,8,9,9,9,11,9,9,121,
Toilet Paper,,,,,1,1,1,1,1,1,1,1,1,1,10,10
Oat Milk,,,,,1,1,1,1,1,1,1,1,1,1,10,10
Buttercream,3,3,3,3,4,3,3,4,4,4,4,4,3,4,49,
Sanchez (retail),,,,,,,,,,1,,,,,1,5
Vanilla Syrup,,,,,,,,,,,,,,,0,4
Cup Carriers,,,,,,,,,,,,,,,0,2
Almond Milk,,,,,,,,,,,,,,,0,4
2% Milk,,,,,,,,,,,,,,,0,3
Ice Cups,,,,,,,,,,,,,,,0,1
M1200 Matcha,1,1,1,2,1,2,2,1,1,2,2,2,2,2,22,
Coldbrew Concentrate,,2,2,1,1,1,1,1,2,3,2,1,1,1,19,
Tonic Water,,,,,,,,,,,,,,,0,1
Ice lid,,,,,,,,,,,,,,,0,1
Agave Cases,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,
Black Straws,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,
Cup Sleeves - Green,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,
Custom Ice Cups,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,
Decaf Beans,,,,,,,,,,,,,,,0,3
Paper Bag,,,,,,,,,,,,,,,0,1
Paper Towel,,,,,,,,,,,,,,,0,1
Receipt rolls,,,,,,,,,,,,,,,0,5
Strawberry Puree Cases,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,
Half & Half,,,,,,,,,,,,,,,0,2
Chai,,,,,,,,,,,,,,,0,2
Rose,,,,,,,,,,,,,,,0,1
Matcha Drizzle,,,,,,,,,,,,,,,0,2
Dish Detergent,,,,,,,,,,,,,,,0,1
Lavender,,,,,,,,,,,,,,,0,1
Sugar Tub,,2,,1,,,,,2,,1,,,,6,
Ube Condensed Milk,1,1,,,,,1,1,1,,,,,1,6,
Dulce,,,,,,,,,,,,,,,0,2
Honey,,,,,,,,,,,,,,,0,2
Mocha,,,,,,,,,,,,,,,0,2
Condensed Milk,,1,1,,,,,,1,1,,,,,4,12
Wooden Stir Stick,,,,,,,,,,,,,,,0,1
Black Trash Bag,,,,,,,,,,,,,,,0,1
Caramel,,,,,,,,,,,1,1,,,2,2
Espresso Trash Bag,,,,,,,,,,,,,,,0,1
Passionfruit Puree,,,,,,,1,,,,,,,1,2,
Beverage Napkin,,,,,,,,,,,,1,,,1,1
Cocoa Box,,,,,,,,,,,,,1,,1,1

DAILY TOTAL,20,26,23,23,27,24,26,25,31,31,30,31,27,29,373,
