Product,03/10/2026,03/11/2026,03/12/2026,03/13/2026,03/14/2026,03/15/2026,03/16/2026,03/17/2026,03/18/2026,03/19/2026,03/20/2026,03/21/2026,03/22/2026,03/23/2026,2-Week Total
Whole Milk,18,22,22,16,21,18,17,18,22,22,16,21,18,17,267
Vienna Cream,9,17,12,9,13,11,8,9,17,12,9,13,11,8,158
Espresso Beans,8,18,14,10,9,8,11,8,18,14,10,9,8,11,155
Oat Milk,3,5,4,3,4,3,2,3,5,4,3,4,3,2,50
Buttercream,3,5,4,2,3,3,2,3,5,4,2,3,3,2,45
Toilet Paper,3,,,,2,5,5,3,,,,2,5,5,28
Sanchez (retail),,4,4,3,2,1,,,4,4,3,2,1,,25
2% Milk,1,2,1,2,,1,1,1,2,1,2,,1,1,17
Vanilla Syrup,2,1,1,,1,1,1,2,1,1,,1,1,1,14
Almond Milk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Soyo Matcha,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13
Cup Carriers,1,1,1,1,1,,1,1,1,1,1,1,,1,11
Agave Cases,1,1,1,,1,1,1,1,1,1,,1,1,1,10
Ice lid,,1,1,1,1,1,1,,1,1,1,1,1,1,10
Custom Ice Cups,,1,1,1,,1,1,,1,1,1,,1,1,10
Half & Half,,1,,,1,,,,1,,,1,,,8
M1200 Matcha,,,,1,,1,1,,,,1,,1,1,7
Chai,1,1,,,,,,1,1,,,,,,6
Coldbrew Concentrate,,1,1,,,,,,1,1,,,,,6
Mirado (retail),,2,,,,,1,,2,,,,,1,6
Strawberry Puree Cases,,1,,,,,,,1,,,,,,5
Supremo (retail),,1,,,1,1,,,1,,,1,1,,5
Tonic Water,,1,1,,,,,,1,1,,,,,5
Cup Sleeves,,1,1,,,,,,1,1,,,,,5
Honey,,,,,,,,,,,,,,,4
Decaf Beans,,,1,,,,,,,1,,,,,4
Paper Bag,,1,,,,,,,1,,,,,,4
Matcha Drizzle,,1,1,,,,,,1,1,,,,,4
Black Straws,1,,,,,,,1,,,,,,,4
Rose,,1,1,,,,,,1,1,,,,,3
Lavender,,,,,,,,,,,,,,,3
Mocha,,,,,,,,,,,,,,,3
Receipt rolls,,1,,,,,,,1,,,,,,3
Dulce,,,,,,,,,,,,,,,3
Beverage Napkin,,,,,,,,,,,,,,,2
Ube Condensed Milk,,,,,,,,,,,,,,,2
Wooden Stir Stick,,,,,,,,,,,,,,,2
Caramel,,,,,,,,,,,,,,,1
Hot Lid,,,,,,,,,,,,,,,1
Nitrile Gloves,,,,,,,,,,,,,,,1
Condensed Milk,,,,,,,,,,,,,,,1
Dish Detergent,,1,,,,,,,1,,,,,,1
Musco Syrup,,,,,,,,,,,,,,,1
Paper Towel,,,,,,,,,,,,,,,1
Sugar Tub,,1,,,,,,,1,,,,,,1
"Pasty Bag, Brown",,,,,,,,,,,,,,,1
Rinza,,,,,,,,,,,,,,,1
10oz Hot Cup,,,,,,,,,,,,,,,1
Black Trash Bag,,,,,,,,,,,,,,,1
Cafiza,,,,,,,,,,,,,,,1
Cinnamon Powder,,,,,,,,,,,,,,,1
Espresso Trash Bag,,,,,,,,,,,,,,,1
Forks,,,,,,,,,,,,,,,1
Tea Bag,,,,,,,,,,,,,,,1
Lid Plug,,,,,,,,,,,,,,,1
Passionfruit Puree,,,,,,,,,,,,,,,1
Sugar in the raw,,,,,,,,,,,,,,,1
Strawberry Puree,,,,,,,,,,,,,,,1

DAILY TOTAL,53,95,74,51,62,58,55,53,95,74,51,62,58,55,896
